naics_code,kind_of_business,2014,2013r,2012r,2011r,2010r,2009r,2008r,2007r,2006r,2005r,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
,"Retail gross margin, total ………………………………………...…………………………………………………………………………………………………",1284219,1234183,1184124,1121967,1077921,974164,1052266,1103384,1073838,1026460,989287,920803,866593,810836,821353,781867,716375,681429,653770,620534,590451,540822
,Total (excl. motor vehicle and parts dealers) ………………………………………...…………………………………………………………………………………………………,1097746,1048556,1005010,967837,928718,873607,916304,939319,915082,875505,832988,769104,717494,688892,676995,634144,588641,553599,527765,498933,476437,443740
,GAFO¹ ………………………………………...………………………………………………………………………………………...…………………………,420196,410165,399649,389326,380307,355985,367874,385521,377304,365719,350528,322601,299986,286144,290782,274834,252563,233147,220853,212131,205485,193078
441,   Motor vehicle and parts dealers ………………………………………...…………………………………………………………………………………………………,186473,185627,179114,154130,149203,100557,135962,164065,158756,150955,156299,151699,149099,121944,144358,147723,127734,127830,126005,121601,114014,97082
4411,   Automobile dealers ………………………………………...…………………………………………………………………………………………………,131346,133573,130412,106200,104733,62849,89485,115708,111941,105142,111617,113551,113406,87561,109333,113102,96797,97854,97467,95679,89489,74904
4413,"   Automotive parts, access., and tire stores ………………………………………...…………………………………………………………………………………………………",38177,36775,34771,35955,33900,31052,32628,31228,31347,30002,28675,25999,24914,23212,23384,24614,22128,21881,21168,19282,18921,16874
442,   Furniture and home furnishings stores ………………………………………...…………………………………………………………………………………………………,46547,44326,42269,40207,39237,37903,43666,51044,52424,50996,49773,44995,43416,40836,41007,37298,33481,30883,28634,26598,25909,23411
443,   Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,31889,30799,31030,25896,29086,26811,28043,29177,28787,27710,26461,23992,22650,20633,22296,20624,18943,17464,16832,16994,16233,14008
444,   Building mat. and garden equip. and supplies dealers ………………………………………...…………………………………………………………………………………………………,109458,104122,95257,91543,89344,84910,96525,108120,110635,105907,96807,83536,76363,72899,68580,61294,56625,51355,49097,46026,44988,39831
4441,   Building mat. and supplies dealers ………………………………………...…………………………………………………………………………………………………,96231,91860,84308,80697,78584,76534,85680,97594,100679,96538,86817,74124,67338,63645,59398,52562,48068,43599,41795,38866,38308,33780
445,   Food and beverage stores ………………………………………...…………………………………………………………………………………………………,184717,177687,175090,172435,165654,161982,165090,160065,153439,147328,143738,137796,133742,132239,120627,119118,111243,106582,104476,101291,96640,93364
4451,   Grocery stores ………………………………………...…………………………………………………………………………………………………,161449,155507,153868,152243,145929,142968,146223,141849,136190,130776,127553,122796,119451,118091,107029,106210,98365,94800,92787,90234,85901,83440
4453,"   Beer, wine, and liquor stores ………………………………………...…………………………………………………………………………………………………",13969,13330,12486,11797,11609,11072,10849,10527,9893,9335,8981,8238,7808,7787,7696,7214,7254,6403,6495,6029,5897,5237
446,   Health and personal care stores ………………………………………...…………………………………………………………………………………………………,89515,84670,81675,78560,75817,72556,70418,69281,67710,64391,62505,58840,54132,49865,46733,42783,40492,37396,33464,30352,29471,28405
4461,   Health and personal care stores ………………………………………...…………………………………………………………………………………………………,89515,84670,81675,78560,75817,72556,70418,69281,67710,64391,62505,58840,54132,49865,46733,42783,40492,37396,33464,30352,29471,28405
44611,   Pharmacies and drug stores ………………………………………...…………………………………………………………………………………………………,62233,57539,55331,54372,52806,51135,49110,48313,48322,45814,44362,43791,39932,36611,33375,31013,28873,26345,23567,21549,21429,21149
447,   Gasoline stations ………………………………………...…………………………………………………………………………………………………,66597,63786,61202,59552,53945,50198,63719,60671,60459,61145,56267,50226,44520,47367,47969,45288,42423,44230,43722,41259,36748,33751
448,   Clothing and clothing access. stores ………………………………………...…………………………………………………………………………………………………,112825,113270,109361,104173,96794,87135,94079,99232,99144,91990,87866,80798,75240,70077,72314,68772,63220,58128,56079,52951,53682,51158
4481,   Clothing stores ………………………………………...…………………………………………………………………………………………………,81497,80509,79259,75279,70605,64507,67859,71651,70669,65909,62497,57423,52360,49309,50483,47210,43685,39877,37326,34903,35915,34251
44811,   Men's clothing stores ………………………………………...…………………………………………………………………………………………………,4593,4488,4208,4086,3621,3486,4091,4305,4471,4403,4584,4321,3863,3940,4391,4297,4510,4431,4182,3907,4467,4215
44812,   Women's clothing stores ………………………………………...…………………………………………………………………………………………………,20553,20722,20992,19729,18545,17362,17749,19595,19401,18139,17273,15832,14024,13637,13658,12196,11474,10924,11021,10657,11286,11949
44814,   Family clothing stores ………………………………………...…………………………………………………………………………………………………,37413,37205,35477,34041,33015,29787,31677,33330,33785,31775,29610,27006,25347,22899,24005,22726,20713,18029,16123,14787,15113,13650
4482,   Shoe stores ………………………………………...…………………………………………………………………………………………………,15721,15641,14592,13741,13381,11850,12738,12586,12836,12368,11192,10582,10232,9396,9417,9664,9328,8913,8979,8732,8669,8159
451,"   Sporting goods, hobby, book, and music stores ………………………………………...…………………………………………………………………………………………………",35905,35337,33972,32440,32128,31072,31626,33935,32713,32016,32106,29964,29293,29656,29324,27762,25611,24607,22742,22656,22480,19856
4511,"   Sporting goods, hobby, and musical instrument stores ……………………………………………………………………………………………",29991,29466,28249,26529,25485,23964,24499,25010,23894,22213,21683,20689,20021,19864,19575,18043,16857,16048,15271,14270,14711,12891
452,   General merchandise stores ………………………………………...…………………………………………………………………………………………………,179169,173101,169630,172993,169144,159803,154941,155246,147407,147230,138119,126529,112916,109670,108794,104128,95452,88104,83631,80323,75793,74259
4521,   Department stores ………………………………………...…………………………………………………………………………………………………,55989,56680,57331,62028,62063,60691,62573,67997,69153,72263,72239,66018,65993,70070,73215,72585,68699,60565,57950,57010,54721,55366
45211,   Department stores ………………………………………...…………………………………………………………………………………………………,55989,56680,57331,62028,62063,60691,62573,67997,69153,72263,72239,66018,65993,70070,73215,72585,68699,60565,57950,57010,54721,55366
452111,      Department stores (except discount dept. stores) ………………………………………...…………………………………………………………………………………………………,22522,22928,23319,25611,25104,23519,25246,29352,30353,33568,30896,29941,31502,31996,35563,35867,33922,34258,34255,32478,32638,32542
452112,      Discount dept. stores ………………………………………...…………………………………………………………………………………………………,33467,33752,34012,36417,36959,37172,37327,38645,38800,38695,41343,36077,34491,38074,37652,36718,34777,26307,23695,24532,22083,22824
4529,   Other general merchandise stores ………………………………………...…………………………………………………………………………………………………,123180,116421,112299,110965,107081,99112,92368,87249,78254,74967,65880,60511,46923,39600,35579,31543,26753,27539,25681,23313,21072,18893
45291,   Warehouse clubs and supercenters ………………………………………...…………………………………………………………………………………………………,99413,92963,89524,89641,88023,80484,75770,71055,62197,60158,51017,46023,35209,27416,24063,20401,16365,17296,15129,12442,11345,7959
45299,   All other gen. merchandise stores ………………………………………...…………………………………………………………………………………………………,23767,23458,22775,21324,19058,18628,16598,16194,16057,14809,14863,14488,11714,12184,11516,11142,10388,10243,10552,10871,9727,10934
453,   Miscellaneous store retailers ………………………………………...…………………………………………………………………………………………………,55434,52632,50583,49201,47526,44320,49130,52935,51183,46970,46572,45516,45069,42788,45376,43397,42291,38948,35736,33285,30304,27399
454,   Nonstore retailers ………………………………………...…………………………………………………………………………………………………,185690,168826,154941,140837,130043,116917,119067,119613,111181,99822,92774,86912,80153,72862,73975,63680,58860,55902,53352,47198,44189,38298
4541,   Electronic shopping and mail-order houses ………………………………………...…………………………………………………………………………………………………,150754,134161,122359,107952,97165,85481,85118,85352,78100,66596,59906,53422,47766,42962,43870,36678,32821,29944,26873,23030,20988,18186
 Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: ,,,,,,,,,,,,,
"1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.","1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,
rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,,,,,,,,,,,,,
 Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls.,,,,,,,,,,,,,
"Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.",,,,,,,,,,,,,
