naics_code,kind_of_business,2014,2013r,2012r,2011r,2010r,2009r,2008r,2007r,2006r,2005r,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
,"Retail inventories, total ………………………………………...……………………………………………………………………………………………………",552767,536246,499015,464428,448771,423380,471330,494372,480338,465791,454848,425748,409314,387859,400394,378813,351255,338790,328160,317304,299812,274072,256167
,Total (excl. motor vehicle and parts dealers) ………………………………………...……………………………………………………………………………………………………,366136,356779,340840,330868,320456,308608,323360,334566,324005,310227,297561,277471,271757,266370,268982,259879,245400,234270,227888,220921,211223,196419,184701
441,   Motor vehicle and parts dealers ………………………………………...……………………………………………………………………………………………………,186631,179467,158175,133560,128315,114772,147970,159806,156333,155564,157287,148277,137557,121489,131412,118934,105855,104520,100272,96383,88589,77653,71466
4411,   Automobile dealers ………………………………………...……………………………………………………………………………………………………,149962,145603,127072,103463,99010,84804,112242,123950,121741,122278,126189,120516,111095,96954,107385,96770,85829,85627,82738,80515,73336,63313,57902
4413,"   Automotive parts, access., and tire stores ………………………………………...……………………………………………………………………………………………………",18629,17540,16679,16486,15798,15120,15422,14484,14157,13486,12842,12332,12289,11987,12616,12515,11543,11383,10811,9794,9366,8576,8190
442,   Furniture and home furnishings stores ………………………………………...…………………………………………………………………………………………………,14940,14407,13981,13607,13648,13620,15059,17192,17278,16992,16658,15223,14627,14134,14523,13498,12583,11945,11562,11042,10844,10021,9267
443,   Electronics and appliance stores ………………………………………...……………………………………………………………………………………………………,12702,12760,13372,12679,13583,11933,12508,13886,13257,13289,13145,11685,10993,10118,10817,10309,9787,9877,10446,10622,9512,8110,6965
444,   Building mat. and garden equip. and supplies dealers ………………………………………...……………………………………………………………………………………………………,47101,45405,42556,41237,40771,40641,44381,46982,45142,43409,40179,36164,34931,33139,33172,31982,29993,28088,26678,25573,24111,21920,20424
4441,   Building materials and supplies dealers ………………………………………...……………………………………………………………………………………………………,39392,38338,35940,34862,34697,35018,37566,40758,39122,37527,34422,30746,29765,28205,28414,27501,25736,24162,23164,22096,21141,19206,17850
445,   Food and beverage stores ………………………………………...……………………………………………………………………………………………………,44738,43209,41674,40779,39301,37983,38053,37260,35452,34546,34239,33328,33721,33965,32853,33371,31510,30559,30338,29367,28770,28120,28028
4451,   Grocery stores ………………………………………...……………………………………………………………………………………………………,37069,35890,34662,34018,32786,31926,32046,31569,30104,29475,29371,28872,29411,29632,28692,29571,27898,27372,27266,26470,25884,25278,25059
4453,"   Beer, wine, and liquor stores ………………………………………...……………………………………………………………………………………………………",6790,6461,6184,5953,5734,5325,5267,4986,4655,4393,4166,3827,3699,3697,3540,3204,3035,2641,2551,2381,2387,2343,2476
446,   Health and personal care stores ………………………………………...……………………………………………………………………………………………………,33976,33951,33130,32992,32472,31529,31343,30444,29178,27662,26458,24770,23631,23914,22684,22271,20842,19608,18096,17255,16733,15860,15189
4461,   Health and personal care stores ………………………………………...……………………………………………………………………………………………………,33976,33951,33130,32992,32472,31529,31343,30444,29178,27662,26458,24770,23631,23914,22684,22271,20842,19608,18096,17255,16733,15860,15189
44611,   Pharmacies and drug stores ………………………………………...……………………………………………………………………………………………………,28312,28335,27904,28225,27995,27255,26832,26005,24968,23763,22709,21279,20200,20563,19299,19125,17978,16940,15688,15053,14692,14035,13534
447,   Gasoline stations ………………………………………...……………………………………………………………………………………………………,10545,11361,10821,10535,9481,8848,8005,8821,8132,7882,7318,6645,6712,6604,6822,6792,5995,5714,5643,5317,5181,4957,5049
448,   Clothing and clothing access. stores ………………………………………...……………………………………………………………………………………………………,48217,47154,44020,41759,39510,38438,43205,44368,44080,39896,38269,35500,34484,32884,33923,31104,29756,28593,27366,26925,27157,25862,25226
4481,   Clothing stores ………………………………………...……………………………………………………………………………………………………,27108,26684,25284,24058,22556,21715,23911,25035,25269,23140,22240,20689,20167,19465,20095,18259,17684,16980,15742,15646,16164,15508,15348
44811,   Men's clothing stores ………………………………………...……………………………………………………………………………………………………,2172,1993,1827,1738,1586,1666,1934,2055,2142,2087,2123,2055,1982,1990,2105,1979,2084,2015,1968,2003,2202,2199,2251
44812,   Women's clothing stores ………………………………………...……………………………………………………………………………………………………,5924,6021,5985,5451,5182,4997,5253,5821,5681,5159,4988,4644,4477,4385,4619,4326,4224,4191,4141,4205,4595,4947,4991
44814,   Family clothing stores ………………………………………...……………………………………………………………………………………………………,13614,13471,12420,12058,11318,10839,12212,12671,13083,12036,11517,10684,10550,10121,10522,9401,9010,8400,7412,7288,7335,6473,6177
4482,   Shoe stores ………………………………………...……………………………………………………………………………………………………,6848,6589,6014,5603,5442,5000,5523,5533,5467,5058,4697,4610,4694,4538,4825,4876,4747,4602,4461,4443,4465,4342,4343
451,"   Sporting goods, hobby, book, and music stores ………………………………………...……………………………………………………………………………………………………",20840,19763,18697,18656,19343,19590,20731,22148,21163,20531,20470,19488,19298,19587,19891,18463,17186,16327,16124,16408,15331,13355,12114
4511,"   Sporting goods, hobby, and musical instrument stores ………………………………………...……………………………………………………………………………………………………",16837,15986,14884,14548,14127,14025,14900,15367,14685,13837,13782,13194,12760,13020,13052,11808,11230,10752,10532,10458,10189,9045,8313
4512,"   Book, periodical, and music stores ………………………………………...……………………………………………………………………………………………………",4003,3777,3813,4108,5216,5565,5831,6781,6478,6694,6688,6294,6538,6567,6839,6655,5956,5575,5592,5950,5142,4310,3801
452,   General merchandise stores ………………………………………...……………………………………………………………………………………………………,77436,77250,74760,73578,70390,66718,69482,72172,71860,70441,67260,62848,61869,60458,60436,59764,57169,56397,56283,55324,52510,49459,45745
4521,   Department stores ………………………………………...……………………………………………………………………………………………………,26283,27830,28117,29233,28984,28906,31038,34169,34831,35596,34736,34209,35921,37470,39510,40591,40224,41074,40903,40326,38849,37545,35151
4529,   Other general merchandise stores ………………………………………...……………………………………………………………………………………………………,51153,49420,46643,44345,41406,37812,38444,38003,37029,34845,32524,28639,25948,22988,20926,19173,16945,15323,15380,14998,13661,11914,10594
453,   Miscellaneous store retailers ………………………………………...……………………………………………………………………………………………………,15798,15554,15239,15195,15332,15262,17121,17929,17523,16563,16811,16324,16817,17038,18432,18142,17500,15695,14689,13847,12397,11186,9650
454,   Nonstore retailers ………………………………………...……………………………………………………………………………………………………,39843,35965,32590,29851,26625,24046,23472,23364,20940,19016,16754,15496,14674,14529,15429,14183,13079,11467,10663,9241,8677,7569,7044
4541,   Electronic shopping and mail-order houses ………………………………………...……………………………………………………………………………………………………,35674,31728,28514,25493,22408,19756,18964,18365,16059,13853,11903,10864,9920,9920,10825,10006,9046,8244,7175,6224,5793,4997,4564
 Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: , Footnotes: ,,,,,,,,,,,,,,
rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,rRevised Data.,,,,,,,,,,,,,,
 Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls., Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls.,,,,,,,,,,,,,,
"Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.","Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.",,,,,,,,,,,,,,
